"","district","avrPrice","minPrice","maxPrice"
"1","宝山",46274,8917,91122
"2","崇明",27475,20023,38730
"3","奉贤",30057,13636,86206
"4","虹口",67968,21353,123609
"5","黄浦",89578,27355,190236
"6","嘉定",39034,13888,72150
"7","金山",21109,13024,30295
"8","静安",92529,29824,185643
"9","闵行",53456,23138,162040
"10","浦东",56506,13921,192178
"11","普陀",62721,28777,112842
"12","青浦",38110,11716,91954
"13","上海周边",20451,10405,27376
"14","松江",40124,11826,112499
"15","徐汇",83770,33368,195652
"16","杨浦",65248,33023,109726
"17","闸北",63504,32341,155610
"18","长宁",75220,30124,199639
